epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8982,1.80306,3.46399,1.15404,0.81777,0.16702,0.26931,0.16996,1.3858,3.42548,0.98666,0.000412037,0.000412037,0.000412037
2,70.2345,1.51817,2.21685,1.02382,0.65386,0.81871,0.73688,0.46337,1.37849,1.45169,1.00417,0.000812295,0.000812295,0.000812295
3,97.421,1.45413,1.60812,1.00927,0.64245,0.9007,0.78311,0.50665,1.33914,1.55539,1.00407,0.00119605,0.00119605,0.00119605
4,124.485,1.41104,1.41298,1.00068,0.77069,0.8635,0.88766,0.58181,1.25603,1.18813,0.97621,0.00117575,0.00117575,0.00117575
5,150.427,1.34584,1.27756,0.99612,0.76983,0.9147,0.91895,0.61492,1.24122,1.23882,0.97649,0.001151,0.001151,0.001151
6,179.621,1.35221,1.16778,0.96923,0.86408,0.94576,0.94715,0.6284,1.20924,0.9922,0.95676,0.00112625,0.00112625,0.00112625
7,215.075,1.3199,1.09071,0.97666,0.88952,0.90739,0.94934,0.63902,1.23361,0.94088,0.959,0.0011015,0.0011015,0.0011015
8,248.667,1.29819,1.04309,0.96433,0.87868,0.93443,0.95759,0.6507,1.19747,0.89732,0.95501,0.00107675,0.00107675,0.00107675
9,283.105,1.30685,1.01363,0.97129,0.91702,0.90132,0.98136,0.67517,1.17322,0.84541,0.94176,0.001052,0.001052,0.001052
10,315.784,1.27109,0.94935,0.95222,0.93716,0.98049,0.98569,0.68213,1.20108,0.75793,0.95175,0.00102725,0.00102725,0.00102725
11,347.941,1.27446,0.93926,0.96237,0.96701,0.96672,0.98913,0.68308,1.16162,0.74148,0.94165,0.0010025,0.0010025,0.0010025
12,378.032,1.22814,0.88125,0.94357,0.95178,0.9711,0.98866,0.67883,1.18676,0.72997,0.94298,0.00097775,0.00097775,0.00097775
13,407.628,1.23288,0.87589,0.95584,0.9722,0.95334,0.99062,0.6804,1.1887,0.72234,0.94332,0.000953,0.000953,0.000953
14,437.732,1.22315,0.83852,0.95307,0.95136,0.9876,0.99156,0.69627,1.17152,0.67046,0.94061,0.00092825,0.00092825,0.00092825
15,467.127,1.23232,0.83672,0.95981,0.95833,0.95383,0.99115,0.69689,1.16685,0.67346,0.9329,0.0009035,0.0009035,0.0009035
16,495.021,1.20916,0.81678,0.94588,0.98479,0.99569,0.99474,0.69827,1.16433,0.63202,0.9351,0.00087875,0.00087875,0.00087875
17,521.976,1.21939,0.77148,0.94531,0.9931,0.9927,0.99476,0.70097,1.15515,0.62515,0.92862,0.000854,0.000854,0.000854
18,550.343,1.22601,0.78265,0.95605,0.97442,0.9947,0.994,0.70137,1.13269,0.62787,0.92592,0.00082925,0.00082925,0.00082925
19,576.971,1.17153,0.74284,0.93074,0.98799,0.99306,0.9943,0.70357,1.14565,0.60398,0.927,0.0008045,0.0008045,0.0008045
20,602.846,1.16374,0.72993,0.93695,0.98832,0.99677,0.99496,0.69984,1.12711,0.58901,0.92465,0.00077975,0.00077975,0.00077975
21,629.898,1.16803,0.70989,0.93748,0.98771,0.99827,0.99478,0.70304,1.14063,0.58138,0.92379,0.000755,0.000755,0.000755
22,656.324,1.19353,0.71295,0.94095,0.98755,1,0.99486,0.70771,1.12893,0.58125,0.92137,0.00073025,0.00073025,0.00073025
23,682.317,1.1788,0.71364,0.9346,0.98245,0.99813,0.99493,0.70948,1.12056,0.57319,0.92037,0.0007055,0.0007055,0.0007055
24,708.203,1.15798,0.68864,0.92319,0.99565,0.99396,0.995,0.71137,1.12062,0.55864,0.91795,0.00068075,0.00068075,0.00068075
25,734.135,1.16481,0.68922,0.93843,0.99504,0.9975,0.99499,0.71158,1.12212,0.56943,0.92109,0.000656,0.000656,0.000656
26,759.473,1.15689,0.67806,0.93331,0.99317,1,0.99495,0.71202,1.11731,0.56254,0.91719,0.00063125,0.00063125,0.00063125
27,785.334,1.17181,0.66865,0.93858,0.99398,0.99584,0.99497,0.69968,1.12041,0.55657,0.91937,0.0006065,0.0006065,0.0006065
28,811.417,1.14759,0.66788,0.92562,0.99633,0.99959,0.99495,0.70304,1.1434,0.56181,0.92173,0.00058175,0.00058175,0.00058175
29,837.587,1.1418,0.64978,0.92699,0.99617,0.99888,0.995,0.70281,1.12623,0.54163,0.92138,0.000557,0.000557,0.000557
