epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,864.519,1.14095,0.64419,0.91804,0.99061,0.9989,0.99489,0.71107,1.11694,0.53689,0.9178,0.00053225,0.00053225,0.00053225
31,891.171,1.12322,0.62984,0.9227,0.9932,1,0.995,0.70749,1.11761,0.53537,0.91667,0.0005075,0.0005075,0.0005075
32,917.588,1.13383,0.63634,0.91635,0.99696,0.99953,0.99499,0.7127,1.12216,0.5285,0.91834,0.00048275,0.00048275,0.00048275
33,944.454,1.10584,0.61642,0.91045,0.99745,1,0.99497,0.70669,1.11596,0.52644,0.91482,0.000458,0.000458,0.000458
34,970.857,1.13703,0.62885,0.92764,0.9915,0.99705,0.99496,0.7045,1.15613,0.53446,0.92409,0.00043325,0.00043325,0.00043325
35,996.927,1.12032,0.62686,0.93599,0.99464,0.99861,0.99497,0.70596,1.12236,0.54114,0.91768,0.0004085,0.0004085,0.0004085
36,1023.08,1.10763,0.61724,0.91581,0.99248,0.99933,0.99492,0.7167,1.1269,0.52673,0.91476,0.00038375,0.00038375,0.00038375
37,1049.22,1.11421,0.61117,0.92409,0.98927,0.98453,0.99471,0.71485,1.10949,0.52886,0.91375,0.000359,0.000359,0.000359
38,1075.01,1.11292,0.61221,0.91476,0.99095,0.98988,0.99447,0.71957,1.10337,0.51973,0.90944,0.00033425,0.00033425,0.00033425
39,1101.29,1.10196,0.60296,0.92232,0.98866,0.99852,0.99474,0.71762,1.11293,0.51137,0.91077,0.0003095,0.0003095,0.0003095
40,1126.96,1.11355,0.59802,0.9171,0.97904,0.9962,0.99474,0.71489,1.10242,0.50699,0.91078,0.00028475,0.00028475,0.00028475
41,1172.73,1.10493,0.62974,0.91971,0.98637,0.98225,0.99132,0.70545,1.12154,0.53607,0.91438,0.00026,0.00026,0.00026
42,1199.04,1.10689,0.6187,0.91396,0.99561,0.98874,0.99474,0.70958,1.12722,0.52468,0.91264,0.00023525,0.00023525,0.00023525
43,1224.84,1.09585,0.61394,0.90981,0.99487,0.99884,0.99496,0.71542,1.10299,0.5102,0.90779,0.0002105,0.0002105,0.0002105
44,1251.97,1.07933,0.58302,0.91313,0.99033,0.99722,0.99496,0.7158,1.0925,0.49969,0.90633,0.00018575,0.00018575,0.00018575
45,1279.47,1.08314,0.57912,0.91627,0.98906,0.99893,0.99496,0.71581,1.09827,0.50514,0.90733,0.000161,0.000161,0.000161
46,1305.36,1.08721,0.58589,0.90867,0.98742,0.98968,0.9947,0.70411,1.12144,0.51063,0.91308,0.00013625,0.00013625,0.00013625
47,1331.81,1.07708,0.57925,0.8985,0.98549,0.99921,0.9947,0.71093,1.1055,0.49988,0.90928,0.0001115,0.0001115,0.0001115
48,1357.99,1.08169,0.58064,0.90783,0.98574,0.98766,0.99444,0.7043,1.11886,0.50852,0.91166,8.675e-05,8.675e-05,8.675e-05
49,1384.24,1.07925,0.573,0.90612,0.98734,0.98641,0.99444,0.69973,1.13615,0.51053,0.91577,6.2e-05,6.2e-05,6.2e-05
50,1410.54,1.05973,0.5637,0.91941,0.98808,0.98678,0.9947,0.70581,1.12082,0.50442,0.912,3.725e-05,3.725e-05,3.725e-05
